,1st,2nd,3d,Avg,Median,Upper,UpperN,Ex,ExN,Qu,QuN,Dot,DotN,Com,ComN,Quo,QuoN,MulA,Emo,EmoBool,Emopos,countEmoNeg,countEmoNeu,countEmoNegNeu,EmoHPos,EmoHNeg,Hash,HashBool,Picture,PTaC,len
1st,1,0.654860628,0.57355993,0.841682924,0.804325121,0.109955602,0.111989662,0.079567382,-0.035057595,0.079547798,0.027031139,0.220233442,0.09769243,0.183566374,0.070256999,0.043573066,0.029837049,0.080160296,0.154540897,0.155120453,0.072058214,0.150719893,0.029937489,0.149585846,-0.102659245,0.028291764,-0.02055239,-0.040458667,0.040534118,0.04149409,0.338109472
2nd,0.654860628,1,0.697654381,0.904582697,0.821327299,0.076470154,0.067706803,0.00729415,-0.139548162,0.1329024,0.055559777,0.304082718,0.151901964,0.257219797,0.128361599,0.094595433,0.085928755,0.078860148,0.085899717,0.085045108,-0.003531321,0.09741753,0.015342129,0.0961105,-0.09979136,0.07215858,0.026413719,0.00250918,0.124760729,0.105242138,0.420696163
3d,0.57355993,0.697654381,1,0.870924906,0.860283547,0.132135489,0.125953006,0.053173498,-0.064345271,0.172036021,0.091707064,0.235263859,0.060693249,0.248191984,0.099262994,0.175312028,0.142882969,0.058601407,0.132681895,0.122719362,0.00966174,0.145588661,0.02517412,0.143956959,-0.045726885,0.048775763,0.008352913,-0.001590342,0.04798012,0.119467218,0.417155732
Avg,0.841682924,0.904582697,0.870924906,1,0.949137467,0.120996516,0.115822698,0.051905007,-0.093347155,0.148157161,0.067348327,0.291537821,0.119293562,0.264616665,0.114925597,0.121190186,0.100285032,0.082918028,0.140935173,0.136954517,0.028083428,0.14917006,0.026576931,0.147610443,-0.094391264,0.057887423,0.006468418,-0.014076951,0.083058065,0.103163358,0.450672917
Median,0.804325121,0.821327299,0.860283547,0.949137467,1,0.115437835,0.10815289,0.05247244,-0.098107519,0.139260803,0.05963816,0.27164071,0.097822175,0.262359025,0.109926865,0.12250374,0.092744546,0.074154834,0.139296879,0.129642428,0.015413517,0.150700428,0.02993256,0.149566375,-0.089900668,0.042420748,-0.000692797,-0.019373928,0.052987166,0.100648752,0.441270947
Upper,0.109955602,0.076470154,0.132135489,0.120996516,0.115437835,1,0.797403333,-0.014144323,0.005989825,0.033123782,0.011676843,-0.035163637,-0.064694447,0.0260452,-0.003671734,0.009303858,-0.005193387,-0.009215933,0.08234608,0.098829473,0.110904504,0.061498817,-0.008028902,0.058136546,-0.034283155,-0.011378647,0.058430608,0.096650277,-0.006046895,-0.012299044,0.066849632
UpperN,0.111989662,0.067706803,0.125953006,0.115822698,0.10815289,0.797403333,1,0.019437116,0.094326452,0.017779543,0.008294487,-0.057450083,-0.070756244,-0.018563616,-0.035370269,-0.006684701,-0.013999154,-0.008275302,0.032701438,0.04267277,0.047480376,0.023959139,-0.007209427,0.022064666,-0.030784023,-0.010217278,0.064872082,0.105767458,-0.011169354,-0.011043734,-0.002497905
Ex,0.079567382,0.00729415,0.053173498,0.051905007,0.05247244,-0.014144323,0.019437116,1,0.834063586,-0.000177981,-0.033521848,-0.139482799,-0.161334393,-0.005175752,-0.01694507,-0.013375579,-0.01568695,-0.031796212,0.048145512,0.07487144,0.008754814,0.046649882,0.039822853,0.050675429,-0.008040051,0.032513568,-0.03725355,-0.032015071,0.011369328,-0.042433364,0.025601665
ExN,-0.035057595,-0.139548162,-0.064345271,-0.093347155,-0.098107519,0.005989825,0.094326452,0.834063586,1,-0.071858753,-0.061616946,-0.213796003,-0.181117096,-0.13727362,-0.099438085,-0.063757787,-0.059836968,-0.030551833,0.000368435,0.009652122,-0.009128429,0.000157897,0.020742993,0.003123169,-0.016788672,0.019808814,-0.036971726,-0.032561787,-0.001207116,-0.040772689,-0.181668205
Qu,0.079547798,0.1329024,0.172036021,0.148157161,0.139260803,0.033123782,0.017779543,-0.000177981,-0.071858753,1,0.853823045,-0.019648716,-0.08421145,0.023398685,-0.0519209,0.092105689,0.092049917,0.121953679,-0.060532246,-0.040771298,-0.031836734,-0.05272319,-0.046711336,-0.057516874,-0.050737414,-0.01375485,-0.023662423,-0.0274518,0.288667758,0.041819683,0.24174501
QuN,0.027031139,0.055559777,0.091707064,0.067348327,0.05963816,0.011676843,0.008294487,-0.033521848,-0.061616946,0.853823045,1,-0.115549548,-0.044288183,-0.170823932,-0.181097281,-0.005822119,0.020358855,0.063052959,-0.076041797,-0.058574541,-0.048170253,-0.065746616,-0.044964483,-0.069821608,-0.078210507,-0.014337934,-0.026011295,-0.035913998,0.342253008,0.049322055,-0.030340456
Dot,0.220233442,0.304082718,0.235263859,0.291537821,0.27164071,-0.035163637,-0.057450083,-0.139482799,-0.213796003,-0.019648716,-0.115549548,1,0.780799934,0.295209091,0.156010131,0.105739349,0.076204119,0.01734491,0.008582158,-0.006444164,-0.020949548,0.011930683,0.029517853,0.015729244,-0.02473775,0.033325621,0.060906763,0.050323489,0.297186951,0.055726014,0.502028236
DotN,0.09769243,0.151901964,0.060693249,0.119293562,0.097822175,-0.064694447,-0.070756244,-0.161334393,-0.181117096,-0.08421145,-0.044288183,0.780799934,1,-0.047599103,-0.041791064,-0.026688945,-0.012513565,-0.008809499,-0.058413973,-0.064378288,-0.045589963,-0.053125043,0.000924677,-0.05108152,-0.036371185,0.001310462,0.037396142,0.011135705,0.39484355,0.068536568,0.050827711
Com,0.183566374,0.257219797,0.248191984,0.264616665,0.262359025,0.0260452,-0.018563616,-0.005175752,-0.13727362,0.023398685,-0.170823932,0.295209091,-0.047599103,1,0.863526023,0.232745142,0.166795649,-0.017779991,6.75E-05,-0.007685722,-0.021096307,0.010071537,-0.023452612,0.006350189,0.036527018,-0.033237296,0.045494897,0.054855006,-0.074677341,0.025062522,0.683591697
ComN,0.070256999,0.128361599,0.099262994,0.114925597,0.109926865,-0.003671734,-0.035370269,-0.01694507,-0.099438085,-0.0519209,-0.181097281,0.156010131,-0.041791064,0.863526023,1,0.125880203,0.09554174,-0.037913804,-0.066666371,-0.070182257,-0.058600158,-0.052418854,-0.040569367,-0.056343793,-0.015825282,-0.027445856,0.012124194,0.010518861,-0.061392951,-0.007496918,0.384784205
Quo,0.043573066,0.094595433,0.175312028,0.121190186,0.12250374,0.009303858,-0.006684701,-0.013375579,-0.063757787,0.092105689,-0.005822119,0.105739349,-0.026688945,0.232745142,0.125880203,1,0.945067122,0.020406983,-0.018835799,-0.020470725,0.031882608,-0.028359933,-0.020868082,-0.0303286,0.153570087,0.061709505,-0.043058936,-0.047061851,0.028352853,0.052605677,0.31185907
QuoN,0.029837049,0.085928755,0.142882969,0.100285032,0.092744546,-0.005193387,-0.013999154,-0.01568695,-0.059836968,0.092049917,0.020358855,0.076204119,-0.012513565,0.166795649,0.09554174,0.945067122,1,0.014635463,-0.036489489,-0.037492371,0.002442185,-0.039606044,-0.020428538,-0.041107196,0.143336574,0.104276125,-0.042151986,-0.046070588,0.031423701,0.041313782,0.2299555
MulA,0.080160296,0.078860148,0.058601407,0.082918028,0.074154834,-0.009215933,-0.008275302,-0.031796212,-0.030551833,0.121953679,0.063052959,0.01734491,-0.008809499,-0.017779991,-0.037913804,0.020406983,0.014635463,1,-0.01987771,-0.024422842,-0.007005621,-0.019936,-0.004850048,-0.019913493,-0.020709551,-0.006873541,-0.010007528,-0.010937864,0.051370294,-0.007429529,0.073601369
Emo,0.154540897,0.085899717,0.132681895,0.140935173,0.139296879,0.08234608,0.032701438,0.048145512,0.000368435,-0.060532246,-0.076041797,0.008582158,-0.058413973,6.75E-05,-0.066666371,-0.018835799,-0.036489489,-0.01987771,1,0.813898315,0.475617765,0.952251918,0.32927405,0.965157096,-0.03041735,-0.024542437,0.015349771,0.019568297,0.004191183,-0.026527629,0.165663297
EmoBool,0.155120453,0.085045108,0.122719362,0.136954517,0.129642428,0.098829473,0.04267277,0.07487144,0.009652122,-0.040771298,-0.058574541,-0.006444164,-0.064378288,-0.007685722,-0.070182257,-0.020470725,-0.037492371,-0.024422842,0.813898315,1,0.286847061,0.816285017,0.198586555,0.815363432,-0.035628499,-0.03015418,0.020906172,0.018127418,0.043447194,-0.032593296,0.149262953
Emopos,0.072058214,-0.003531321,0.00966174,0.028083428,0.015413517,0.110904504,0.047480376,0.008754814,-0.009128429,-0.031836734,-0.048170253,-0.020949548,-0.045589963,-0.021096307,-0.058600158,0.031882608,0.002442185,-0.007005621,0.475617765,0.286847061,1,0.214367871,0.155068584,0.228866316,0.014421457,-0.008649638,-0.012593435,-0.013764167,-0.027676905,-0.009349291,0.061545114
countEmoNeg,0.150719893,0.09741753,0.145588661,0.14917006,0.150700428,0.061498817,0.023959139,0.046649882,0.000157897,-0.05272319,-0.065746616,0.011930683,-0.053125043,0.010071537,-0.052418854,-0.028359933,-0.039606044,-0.019936,0.952251918,0.816285017,0.214367871,1,0.181563987,0.990031486,-0.03668664,-0.024614406,0.008142044,0.005694434,0.016198278,-0.026605419,0.164433789
